Name,Date,Time,Type,Hours,Late,Emotion
images (2),14-07-2026,08:14:36,IN,,False,Neutral
images (2),14-07-2026,08:14:36,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:36,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:37,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:40,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:40,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:41,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:41,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:42,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:42,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:42,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:42,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:43,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:43,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:43,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:43,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:44,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:44,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:44,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:46,IN,,False,Neutral
images (2),14-07-2026,08:14:49,OUT,0h 00m,False,Surprise
images (2),14-07-2026,08:14:50,IN,,False,Fear
images (2),14-07-2026,08:14:50,OUT,0h 00m,False,Fear
images (2),14-07-2026,08:14:50,IN,,False,Fear
images (2),14-07-2026,08:14:50,OUT,0h 00m,False,Fear
images (2),14-07-2026,08:14:51,IN,,False,Fear
images (2),14-07-2026,08:14:51,OUT,0h 00m,False,Fear
images (2),14-07-2026,08:14:51,IN,,False,Fear
images (2),14-07-2026,08:14:52,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:52,IN,,False,Neutral
images (2),14-07-2026,08:14:52,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:52,IN,,False,Neutral
images (2),14-07-2026,08:14:52,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:53,IN,,False,Neutral
images (2),14-07-2026,08:14:53,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:54,IN,,False,Neutral
images (2),14-07-2026,08:14:54,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:54,IN,,False,Neutral
images (2),14-07-2026,08:14:54,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:54,IN,,False,Neutral
images (2),14-07-2026,08:14:55,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:55,IN,,False,Neutral
images (2),14-07-2026,08:14:55,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:55,IN,,False,Neutral
images (2),14-07-2026,08:14:55,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:56,IN,,False,Neutral
images (2),14-07-2026,08:14:56,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:56,IN,,False,Neutral
images (2),14-07-2026,08:14:56,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:57,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:57,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:58,OUT,0h 00m,False,Fear
images (2),14-07-2026,08:14:58,IN,,False,Neutral
images (2),14-07-2026,08:14:59,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:59,IN,,False,Neutral
images (2),14-07-2026,08:14:59,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:59,IN,,False,Neutral
images (2),14-07-2026,08:14:59,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:00,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:00,IN,,False,Neutral
images (2),14-07-2026,08:15:00,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:01,IN,,False,Neutral
images (2),14-07-2026,08:15:01,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:01,IN,,False,Neutral
images (2),14-07-2026,08:15:01,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:02,IN,,False,Neutral
images (2),14-07-2026,08:15:02,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:02,IN,,False,Neutral
images (2),14-07-2026,08:15:02,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:02,IN,,False,Neutral
images (2),14-07-2026,08:15:03,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:03,IN,,False,Neutral
images (2),14-07-2026,08:15:03,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:03,IN,,False,Neutral
images (2),14-07-2026,08:15:04,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:04,IN,,False,Neutral
images (2),14-07-2026,08:15:04,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:04,IN,,False,Neutral
images (2),14-07-2026,08:15:04,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:05,IN,,False,Neutral
images (2),14-07-2026,08:15:05,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:05,IN,,False,Neutral
images (2),14-07-2026,08:15:05,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:05,IN,,False,Neutral
images (2),14-07-2026,08:15:06,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:06,IN,,False,Neutral
images (2),14-07-2026,08:15:06,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:06,IN,,False,Neutral
images (2),14-07-2026,08:15:07,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:07,IN,,False,Neutral
images (2),14-07-2026,08:15:07,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:07,IN,,False,Neutral
images (2),14-07-2026,08:15:08,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:08,IN,,False,Neutral
images (2),14-07-2026,08:15:08,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:08,IN,,False,Neutral
images (2),14-07-2026,08:15:08,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:09,IN,,False,Neutral
images (2),14-07-2026,08:15:09,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:09,IN,,False,Neutral
images (2),14-07-2026,08:15:09,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:15:09,IN,,False,Neutral
images (2),14-07-2026,08:15:10,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:13,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:14,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:14,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:14,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:14,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:15,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:15,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:15,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:15,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:16,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:16,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:16,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:16,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:16,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:17,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:17,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:17,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:17,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:17,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:18,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:18,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:18,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:18,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:18,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:19,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:19,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:19,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:20,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:20,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:21,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:21,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:21,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:21,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:21,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:22,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:22,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:22,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:22,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:22,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:23,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:23,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:23,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:24,IN,,False,Angry
IMG20260607211840,14-07-2026,08:15:24,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:24,IN,,False,Angry
IMG20260607211840,14-07-2026,08:15:24,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:24,IN,,False,Angry
IMG20260607211840,14-07-2026,08:15:25,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:25,IN,,False,Angry
IMG20260607211840,14-07-2026,08:15:25,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:26,IN,,False,Angry
IMG20260607211840,14-07-2026,08:15:26,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:15:26,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:15:37,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:15:37,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:16:05,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:16:05,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:16:05,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:16:06,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:16:06,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:16:07,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:16:07,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:16:14,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:16:14,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:16:15,IN,,False,Angry
IMG20260607211840,14-07-2026,08:16:15,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:16:15,IN,,False,Angry
IMG20260607211840,14-07-2026,08:16:16,OUT,0h 00m,False,Angry
IMG20260607211840,14-07-2026,08:16:16,IN,,False,Angry
IMG20260607211840,14-07-2026,08:16:16,OUT,0h 00m,False,Fear
IMG20260607211840,14-07-2026,08:16:17,IN,,False,Fear
IMG20260607211840,14-07-2026,08:16:17,OUT,0h 00m,False,Fear
IMG20260607211840,14-07-2026,08:16:19,IN,,False,Fear
IMG20260607211840,14-07-2026,08:16:19,OUT,0h 00m,False,Fear
